,name,overall_score,position_score,height,weight,pref_foot,birthdate,age,pref_pos,work_rate,weak_foot,skill_moves,wage,joined_club,contract_expires,Ball Control,Dribbling,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,GK Positioning,GK Diving,GK Handling,GK Kicking,GK Reflexes,ball_skill_avg,mental_avg,passing_avg,physical_avg,shooting_avg,goalkeeper_avg
1328,Petros Mantalos,76,76,177.0,74.0,1,922,32.0,26,2,4.0,3.0,17.5,1002,1,78,78,45,52,65,72,75,55,80,73,76,79,79,74,70,60,78,72,78,69,59,70,70,68,75,71,69,63,10,8,14,7,12,78.0,70.0,78.0,71.57142857142857,68.125,10.2
1329,Willian Arão,76,76,181.0,74.0,1,3666,32.0,108,6,3.0,3.0,28.0,1051,1,71,67,73,77,81,69,71,79,66,75,58,73,76,65,86,82,57,69,68,75,74,75,56,68,56,48,56,40,10,16,16,15,13,69.0,73.5,69.0,71.71428571428571,59.125,14.0
1330,Yussuf Poulsen,76,76,192.0,84.0,1,3209,30.0,656,6,3.0,3.0,49.0,1206,1,75,75,34,59,81,79,79,54,71,72,68,73,53,77,80,80,54,71,68,94,86,73,76,58,70,42,58,75,14,6,11,15,8,75.0,72.66666666666667,64.66666666666667,74.85714285714286,67.25,10.8
1331,Franco Vázquez,76,76,187.0,82.0,0,1773,35.0,5,2,3.0,4.0,5.2,1080,1,82,81,48,59,78,70,75,69,80,77,73,78,75,40,71,78,35,51,67,69,69,76,80,80,80,68,67,79,9,14,15,13,7,81.5,74.83333333333333,75.33333333333333,58.71428571428572,74.875,11.6
1332,Pablo Marí,76,76,193.0,87.0,0,924,30.0,61,8,3.0,2.0,42.0,1011,4,60,49,76,79,76,73,34,77,37,74,32,70,65,56,57,82,33,62,49,83,80,53,38,40,27,30,31,28,13,6,14,7,12,54.5,61.833333333333336,55.66666666666666,60.285714285714285,40.875,10.4
1333,Miroslav Stevanović,76,76,180.0,72.0,1,2941,34.0,549,2,4.0,3.0,16.5,1136,2,75,74,31,47,62,72,77,41,76,74,76,75,73,79,81,65,75,81,80,77,69,67,68,68,75,66,62,62,13,15,10,11,10,74.5,67.0,74.66666666666667,76.85714285714286,67.125,11.8
1334,Patric,76,76,184.0,72.0,1,146,31.0,61,6,3.0,2.0,38.0,1003,4,74,68,77,79,79,77,55,77,66,72,69,77,72,69,68,72,68,68,69,80,75,63,49,57,46,48,51,25,9,8,14,12,14,71.0,71.0,72.66666666666667,70.57142857142857,51.75,11.4
1335,Jacob Murphy,76,76,179.0,74.0,1,1815,29.0,623,2,4.0,3.0,90.0,1090,4,78,80,55,67,56,75,76,65,73,70,76,70,60,83,76,61,75,83,74,67,45,76,65,68,75,67,66,50,10,13,16,13,6,79.0,69.16666666666667,68.66666666666667,74.14285714285714,64.0,11.6
1336,Sam Johnstone,76,76,193.0,85.0,1,3914,31.0,258,8,3.0,1.0,27.5,1010,3,18,16,20,17,24,70,11,17,48,32,17,27,35,38,37,68,27,45,55,64,17,53,11,16,16,17,42,15,77,77,74,70,78,17.0,33.666666666666664,26.33333333333333,47.71428571428572,23.375,75.2
1337,Mattia De Sciglio,76,76,183.0,78.0,1,5373,31.0,482,8,4.0,3.0,70.0,1106,2,75,74,75,79,66,72,64,75,63,74,78,74,70,64,75,66,76,68,73,71,69,67,33,51,78,39,49,41,5,5,3,5,3,74.5,69.0,74.0,70.42857142857143,53.375,4.2
1338,Harrison Reed,76,77,175.0,72.0,1,2389,29.0,108,6,3.0,3.0,65.0,305,1,72,69,72,75,82,75,67,77,71,72,73,74,72,75,82,69,80,62,74,69,51,67,59,63,65,61,49,40,10,7,12,14,11,70.5,74.0,73.0,73.0,56.875,10.8
1339,João Paulo,76,76,171.0,71.0,1,4128,33.0,194,6,3.0,3.0,9.1,941,0,77,74,69,71,75,73,71,69,77,77,74,81,78,71,76,73,78,69,74,72,55,78,66,71,68,67,57,67,14,15,8,16,9,75.5,73.66666666666667,77.66666666666667,73.28571428571429,66.125,12.4
1340,Alberto Moreno,76,76,171.0,65.0,0,3022,32.0,274,2,2.0,3.0,26.5,1255,1,75,75,76,76,81,75,77,72,69,68,78,77,69,77,74,59,83,80,80,71,61,80,65,75,73,55,54,50,10,10,14,9,11,75.0,73.66666666666667,74.66666666666667,74.85714285714286,64.125,10.8
1341,Ruiz de Galarreta,76,76,175.0,69.0,1,976,31.0,194,2,3.0,3.0,26.0,1011,2,73,70,75,80,80,74,74,75,77,74,53,80,79,66,77,63,83,67,83,63,51,62,60,68,58,45,47,61,7,12,6,13,12,71.5,75.66666666666667,70.66666666666667,71.71428571428571,56.5,10.0
1342,Fayçal Fajr,76,76,180.0,70.0,1,527,36.0,237,2,4.0,3.0,25.5,1010,1,78,77,68,65,69,75,69,70,76,66,80,79,78,64,75,68,71,55,73,55,49,75,70,74,82,79,75,62,15,15,12,14,6,77.5,70.83333333333333,79.0,65.85714285714286,70.75,12.4
1343,Raúl Jiménez,76,76,188.0,81.0,1,4604,33.0,656,8,4.0,3.0,70.0,1149,2,76,75,30,38,80,76,78,53,76,78,73,78,75,65,69,82,64,67,66,83,74,84,75,71,75,51,92,74,14,7,11,13,10,75.5,73.5,75.33333333333333,70.85714285714286,74.5,11.0
1344,Maxime Dupé,76,77,188.0,88.0,1,4058,31.0,258,8,3.0,1.0,18.0,1088,2,22,11,11,11,35,67,11,23,35,58,10,34,29,48,21,71,39,42,35,68,13,54,10,11,12,11,18,10,74,77,75,72,77,16.5,38.16666666666666,24.33333333333333,46.285714285714285,17.375,75.0
1345,John Brooks,76,76,194.0,94.0,0,2404,31.0,61,5,3.0,2.0,29.0,898,1,63,59,74,80,74,75,40,73,58,81,36,70,70,53,61,85,51,58,53,78,84,52,39,29,30,28,45,32,9,8,7,10,10,61.0,66.83333333333333,58.66666666666666,62.71428571428572,42.375,8.8
1346,Bobby De Cordova-Reid,76,76,170.0,68.0,1,1724,31.0,524,0,3.0,3.0,65.0,882,1,75,75,55,59,54,77,77,59,73,70,71,74,66,78,83,60,86,72,86,74,66,69,73,71,65,64,70,75,8,8,12,13,10,75.0,68.33333333333333,70.33333333333333,77.0,69.125,10.2
1347,Davy Klaassen,76,76,179.0,70.0,1,1759,31.0,178,2,3.0,3.0,16.0,1901,1,79,69,65,73,77,75,82,70,77,79,67,75,75,69,83,74,68,54,65,80,74,78,79,75,61,53,75,79,16,12,6,13,10,74.0,76.66666666666667,72.33333333333333,70.42857142857143,71.75,11.4
1348,Willy Boly,76,76,195.0,97.0,1,1911,33.0,61,8,4.0,2.0,50.0,1973,1,64,57,76,79,75,69,45,76,61,79,50,68,66,47,51,91,44,57,39,82,77,52,32,23,46,35,56,23,10,7,8,15,9,60.5,67.5,61.333333333333336,58.71428571428572,43.0,9.8
1349,Jérôme Roussillon,76,76,175.0,80.0,0,2526,31.0,386,2,2.0,3.0,29.0,789,4,77,76,73,72,72,73,66,74,66,75,69,72,70,81,73,73,80,82,77,79,61,75,63,65,75,56,51,57,8,9,7,13,15,76.5,71.0,70.33333333333333,77.85714285714286,62.875,10.4
1350,Thomas Meunier,76,76,191.0,90.0,1,5738,32.0,478,8,4.0,3.0,35.0,1008,1,71,75,77,74,76,72,74,74,73,74,81,67,75,66,80,84,47,69,62,87,80,80,70,77,76,56,65,76,6,8,13,15,9,73.0,73.83333333333333,74.33333333333333,70.71428571428571,72.5,10.2
1351,Conor Coady,76,76,186.0,80.0,1,1832,31.0,61,6,3.0,2.0,38.0,1011,3,79,60,72,79,65,79,51,78,75,80,67,81,86,41,73,73,54,50,48,73,78,68,52,60,60,57,60,56,12,8,15,10,8,69.5,71.33333333333333,78.0,58.85714285714285,61.375,10.6
1352,Massadio Haïdara,76,76,179.0,76.0,0,1223,31.0,370,6,3.0,3.0,29.5,1006,2,75,70,74,75,77,76,57,74,56,73,70,70,59,74,82,78,72,80,69,84,72,79,52,55,52,58,55,37,8,10,13,14,16,72.5,68.83333333333333,66.33333333333333,77.0,57.5,12.2
1353,Aïssa Mandi,76,76,184.0,78.0,1,5403,32.0,84,2,3.0,2.0,26.5,1009,2,71,64,78,79,76,75,65,75,68,74,69,76,75,64,60,76,64,57,67,83,78,52,41,49,67,49,35,49,10,15,16,9,14,67.5,72.16666666666667,73.33333333333333,67.28571428571429,52.5,12.8
1354,Riccardo Saponara,76,76,184.0,73.0,1,1256,32.0,337,8,4.0,4.0,26.0,1120,1,82,80,30,34,52,74,76,30,84,77,73,80,72,69,62,60,74,67,71,66,58,75,66,78,82,70,68,73,5,5,3,5,3,81.0,65.5,75.0,67.0,71.25,4.2
1355,Jeffrey Schlupp,76,76,178.0,72.0,0,1285,31.0,108,8,2.0,3.0,34.0,791,1,75,77,75,77,75,78,75,74,72,69,66,74,70,83,77,73,75,82,73,80,61,78,69,68,62,48,67,66,10,9,7,8,9,76.0,73.83333333333333,70.0,77.57142857142857,64.875,8.6
1356,Benjamin Lecomte,76,76,186.0,78.0,0,323,33.0,258,8,3.0,1.0,17.0,905,4,23,11,12,11,23,74,10,24,44,61,13,30,33,41,34,68,30,40,36,63,10,58,11,10,20,19,20,10,75,75,75,77,75,17.0,39.333333333333336,25.33333333333333,44.57142857142857,19.75,75.4
1357,Cristian Tello,76,76,178.0,65.0,1,696,33.0,406,8,4.0,4.0,31.0,891,1,75,77,42,49,48,70,73,39,70,71,74,76,72,87,71,60,81,90,79,69,47,79,71,69,80,78,58,71,7,15,12,9,13,76.0,61.833333333333336,74.0,76.71428571428571,69.125,11.2
1358,Marco Bizot,76,76,193.0,88.0,1,3632,33.0,258,8,2.0,1.0,14.5,314,3,32,12,14,12,39,75,13,17,47,47,20,28,33,45,32,64,40,47,50,65,16,52,15,14,20,15,36,13,74,79,73,69,76,22.0,39.66666666666666,27.0,49.0,22.625,74.2
1359,Magomed Ozdoev,76,76,184.0,78.0,1,5100,31.0,194,2,4.0,3.0,17.5,335,2,76,75,73,75,74,75,73,74,74,72,72,78,76,72,77,75,74,73,78,74,57,81,70,75,58,65,68,45,16,11,8,16,15,75.5,73.66666666666667,75.33333333333333,74.71428571428571,64.875,13.2
1360,Nicolas Höfler,76,76,181.0,79.0,1,4143,34.0,108,8,3.0,2.0,24.5,998,4,68,65,69,78,69,78,53,82,65,75,54,76,69,54,90,73,73,59,67,70,65,58,41,49,53,50,50,40,10,6,13,13,9,66.5,70.33333333333333,66.33333333333333,69.42857142857143,50.75,10.2
1361,Cédric Bakambu,76,76,182.0,73.0,1,39,33.0,656,8,3.0,3.0,40.0,1135,2,74,72,21,29,42,73,81,39,63,66,70,70,58,82,61,70,69,81,75,84,75,79,79,68,66,57,76,77,14,6,13,6,6,73.0,60.66666666666666,66.0,74.57142857142857,72.125,9.0
1362,Jonas Svensson,76,76,172.0,69.0,1,4097,31.0,450,0,3.0,3.0,14.0,1017,1,74,72,72,73,82,73,69,72,71,75,71,72,67,78,87,73,85,82,79,78,61,75,55,58,73,54,48,61,10,15,12,7,16,73.0,73.66666666666667,70.0,80.28571428571429,60.625,12.0
1363,Nicolás Lodeiro,76,76,170.0,69.0,0,3840,35.0,12,0,3.0,4.0,9.1,1157,0,80,78,40,52,69,79,77,49,78,83,78,78,75,67,79,65,79,63,76,58,42,70,70,74,81,76,83,71,7,12,16,11,15,79.0,72.5,77.0,69.57142857142857,70.875,12.2
1364,Dorlan Pabón,76,76,170.0,74.0,1,2331,36.0,557,1,4.0,4.0,13.0,1240,1,79,69,33,40,69,73,76,44,75,69,72,74,72,81,67,70,77,81,76,72,51,88,80,71,76,77,73,80,14,15,11,15,9,74.0,67.66666666666667,72.66666666666667,74.85714285714286,74.5,12.8
1365,Marco Davide Faraoni,76,76,180.0,71.0,1,5455,32.0,603,0,4.0,3.0,24.0,1007,2,76,74,68,72,77,76,74,72,67,73,78,76,72,77,74,68,79,76,71,77,69,79,66,75,77,66,66,81,12,11,8,13,15,75.0,73.16666666666667,75.33333333333333,74.57142857142857,72.375,11.8
1366,Willian José,76,76,189.0,91.0,1,4940,32.0,656,7,4.0,4.0,24.5,1385,3,75,73,30,32,75,78,79,35,74,77,53,73,50,60,65,89,37,65,65,86,76,82,78,72,68,60,76,73,15,15,14,16,8,74.0,69.66666666666667,58.66666666666666,66.71428571428571,73.125,13.6
1367,Germán Pezzella,76,76,187.0,81.0,1,3427,33.0,61,8,3.0,2.0,20.5,213,2,64,54,74,77,85,69,47,79,22,72,40,69,59,51,58,77,43,55,32,78,77,54,48,50,46,32,35,40,10,7,9,13,15,59.0,62.333333333333336,56.0,56.285714285714285,47.75,10.8
1368,Paulo Victor,76,76,187.0,81.0,0,2091,37.0,258,8,2.0,1.0,14.0,1250,2,17,14,13,11,29,76,9,16,45,54,19,30,30,47,30,57,50,52,55,62,13,53,12,13,13,16,14,11,73,78,73,70,79,15.5,38.16666666666666,26.33333333333333,50.42857142857143,18.125,74.6
1369,Kevin Vogt,76,76,194.0,87.0,1,5942,32.0,61,2,3.0,2.0,29.0,1004,2,73,67,75,76,70,76,55,80,67,80,63,80,81,66,67,83,46,72,54,76,75,76,50,57,50,62,53,51,7,6,13,8,14,70.0,71.33333333333333,74.66666666666667,66.28571428571429,59.25,9.6
1370,Ai Kesen,76,76,180.0,77.0,1,2662,35.0,445,2,4.0,4.0,15.0,124,1,75,78,35,45,69,74,76,56,78,76,67,75,66,83,78,82,87,81,81,90,71,83,78,72,76,80,86,76,8,9,16,7,7,76.5,71.5,69.33333333333333,83.14285714285714,77.75,9.4
1371,Mats Rits,76,76,178.0,72.0,1,2742,31.0,177,0,5.0,3.0,23.5,1006,1,77,74,70,74,79,71,76,77,76,74,67,78,75,79,80,71,76,77,69,77,60,76,75,68,68,67,57,63,15,7,16,13,10,75.5,75.5,73.33333333333333,75.57142857142857,66.75,12.2
1372,Marwin Hitz,76,76,194.0,91.0,1,5837,36.0,258,8,3.0,1.0,7.4,1010,2,17,13,14,15,25,71,8,23,25,44,12,29,33,40,38,78,31,46,41,70,18,56,27,12,15,17,22,26,79,74,73,75,78,15.0,32.666666666666664,24.666666666666668,49.142857142857146,24.125,75.8
1373,Rubén Pérez,76,76,178.0,72.0,1,321,35.0,108,8,3.0,2.0,16.0,1050,2,73,62,72,73,81,74,72,80,76,71,52,77,77,52,72,73,64,48,59,65,56,80,58,67,55,57,60,26,9,11,8,13,15,67.5,75.66666666666667,68.66666666666667,61.85714285714285,57.375,11.2
1374,Steven Zuber,76,76,182.0,83.0,1,661,33.0,676,8,4.0,3.0,19.0,1674,2,75,76,63,66,69,78,78,68,70,71,77,75,72,77,74,79,73,77,73,83,68,79,75,73,75,66,62,64,14,15,15,7,9,75.5,72.33333333333333,74.66666666666667,76.57142857142857,70.25,12.0
1375,Aridane,76,76,188.0,79.0,1,3874,35.0,61,6,3.0,2.0,18.0,1224,2,67,40,75,75,78,72,35,77,47,66,45,65,53,40,77,91,48,53,65,80,78,66,26,31,47,46,31,40,11,15,12,9,8,53.5,62.5,54.333333333333336,64.85714285714286,45.625,11.0
1376,Francesco Caputo,76,76,181.0,77.0,1,971,37.0,656,7,4.0,3.0,10.0,1011,2,76,75,15,20,50,78,81,14,65,72,50,70,58,77,65,67,79,72,84,81,73,75,81,70,58,54,78,80,11,14,7,10,11,75.5,60.0,59.333333333333336,75.0,71.125,10.6
1377,Manuel Lanzini,76,76,167.0,59.0,1,1637,31.0,24,8,3.0,4.0,19.0,290,1,80,79,54,52,62,72,73,30,78,78,75,79,77,73,61,38,88,58,78,54,52,76,70,76,76,76,77,65,7,14,9,6,15,79.5,65.5,77.0,64.28571428571429,71.0,10.2
1378,Patrick van Aanholt,76,76,176.0,67.0,0,870,33.0,259,2,3.0,3.0,34.0,726,214,74,76,76,75,77,74,74,70,68,69,66,72,73,83,79,70,77,85,75,84,58,75,62,68,73,71,65,62,8,9,15,7,6,75.0,72.0,70.33333333333333,79.0,66.75,9.0
1379,Danny Welbeck,76,76,185.0,73.0,1,4988,33.0,656,0,3.0,3.0,70.0,1844,1,82,76,33,39,75,73,80,32,74,78,69,74,64,64,63,72,64,72,67,80,77,77,76,63,61,62,73,69,12,9,10,6,16,79.0,68.66666666666667,69.0,68.85714285714286,69.75,10.6
1380,Angelo Ogbonna,76,76,191.0,86.0,0,4423,36.0,61,8,3.0,2.0,37.0,1012,1,61,58,76,80,75,76,44,77,52,73,51,66,71,35,33,80,48,44,46,75,79,68,25,46,51,36,39,30,4,5,3,5,4,59.5,66.16666666666667,62.66666666666666,51.57142857142857,46.75,4.2
1381,Max Kruse,76,76,180.0,76.0,0,3789,36.0,140,7,4.0,4.0,17.0,1011,1,81,79,29,35,57,78,80,34,82,84,79,80,79,51,45,71,75,51,71,65,59,80,79,78,83,67,90,77,13,12,7,5,9,80.0,69.16666666666667,79.33333333333333,61.285714285714285,76.625,9.2
1382,Nordin Amrabat,76,76,179.0,87.0,1,4038,37.0,560,0,2.0,3.0,13.0,194,1,76,76,53,62,87,73,74,59,73,79,77,74,74,76,80,89,80,79,82,83,59,77,68,65,79,67,75,69,6,11,14,7,13,76.0,74.16666666666667,75.0,81.28571428571429,69.875,10.2
1383,Adam Lallana,76,76,178.0,73.0,1,4178,36.0,13,2,5.0,4.0,49.0,1161,1,80,78,60,65,71,77,74,64,78,81,74,81,77,63,54,60,73,51,68,67,64,72,69,69,77,66,70,70,8,6,15,14,11,79.0,74.16666666666667,77.33333333333333,62.285714285714285,69.625,10.8
1384,Kévin Gameiro,76,76,172.0,69.0,1,4675,37.0,656,8,4.0,3.0,19.0,1086,1,77,73,39,33,66,77,78,38,74,76,69,76,69,76,66,64,71,81,77,75,68,77,79,73,74,70,81,77,8,6,10,8,6,75.0,68.16666666666667,71.33333333333333,72.85714285714286,74.875,7.6
1385,Daniel Wass,76,76,181.0,74.0,1,4569,35.0,460,2,3.0,3.0,14.5,173,2,76,76,73,74,74,74,76,75,78,72,77,77,80,70,81,73,71,71,72,76,68,82,73,76,78,80,61,69,13,11,9,10,13,76.0,74.83333333333333,78.0,73.42857142857143,73.375,11.2
1386,Fraser Forster,76,76,201.0,93.0,1,3753,36.0,258,8,5.0,1.0,32.0,1010,1,33,20,12,13,44,70,13,22,48,54,19,27,36,26,29,80,42,32,44,65,13,50,13,12,10,19,22,19,75,76,72,67,81,26.5,41.833333333333336,27.33333333333333,45.42857142857143,19.75,74.2
1387,Andrés Guardado,76,76,169.0,67.0,0,6023,37.0,99,8,2.0,3.0,14.5,1236,1,78,77,74,73,72,75,65,72,78,75,75,82,79,63,79,59,87,56,77,62,55,70,64,73,78,80,70,69,11,7,10,10,10,77.5,72.83333333333333,78.66666666666667,69.0,69.875,9.6
1388,Ashley Young,76,76,175.0,65.0,1,3091,39.0,297,2,3.0,4.0,24.5,1044,1,76,74,74,77,83,77,72,75,74,79,78,78,73,67,68,68,76,64,70,76,72,71,63,65,82,75,60,74,16,16,10,15,15,75.0,76.66666666666667,76.33333333333333,69.85714285714286,70.25,14.4
1389,Gift Emmanuel Orban,75,84,178.0,73.0,1,2734,22.0,656,8,3.0,2.0,17.5,944,4,70,73,10,17,48,77,74,17,63,78,58,64,56,76,60,69,77,78,73,75,60,83,83,78,76,76,71,78,12,10,6,14,10,71.5,59.5,59.333333333333336,72.57142857142857,75.625,10.4
1390,Lázaro,75,85,181.0,75.0,1,3675,22.0,355,8,3.0,4.0,17.5,1973,5,77,78,40,42,43,71,72,51,72,55,69,73,72,77,67,64,71,80,67,76,68,63,77,71,52,46,55,60,14,7,7,11,10,77.5,60.66666666666666,71.33333333333333,71.71428571428571,61.5,9.8
1391,Ousmane Diomande,75,85,190.0,86.0,1,1445,20.0,61,6,4.0,2.0,6.1,944,4,72,71,75,77,75,73,24,68,37,64,28,72,74,67,60,86,65,72,63,81,70,40,20,22,25,24,39,24,6,8,6,15,6,71.5,56.833333333333336,58.0,70.57142857142857,33.0,8.2
1392,Alejo Veliz,75,85,187.0,77.0,1,5870,20.0,656,2,3.0,3.0,41.0,341,6,75,70,21,23,81,75,76,15,46,56,49,62,51,70,68,72,69,72,60,85,83,76,79,64,56,54,72,68,6,7,6,7,11,72.5,58.16666666666666,54.0,70.85714285714286,69.0,7.4
1393,Fabio Miretti,75,88,179.0,72.0,1,902,21.0,178,8,4.0,3.0,42.0,1980,4,79,79,69,71,76,71,68,66,76,72,71,79,75,77,79,67,77,77,79,68,49,66,52,68,74,69,65,70,14,11,9,6,12,79.0,71.5,75.0,74.85714285714286,64.125,10.4
1394,Gastón Hernández,75,80,185.0,76.0,1,2225,26.0,61,5,3.0,2.0,12.5,767,1,68,50,75,77,76,75,32,78,36,60,26,75,68,69,71,70,59,68,59,74,69,43,39,26,30,33,46,38,14,10,9,13,10,59.0,59.5,56.333333333333336,67.14285714285714,40.5,11.2
1395,Federico Baschirotto,75,77,184.0,77.0,1,5897,27.0,84,6,3.0,2.0,15.0,1035,2,54,49,71,75,85,68,57,73,63,70,60,63,57,71,76,92,52,77,70,85,69,53,52,56,56,48,52,44,6,14,11,10,12,51.5,69.33333333333333,60.0,74.71428571428571,53.75,10.6
1396,Alejandro Garnacho,75,88,180.0,72.0,1,2606,20.0,422,2,4.0,3.0,55.0,1172,5,75,77,24,35,64,76,76,38,68,71,68,69,47,86,67,50,87,83,85,61,44,74,70,67,75,61,56,58,13,6,15,14,7,76.0,65.5,61.333333333333336,74.14285714285714,63.125,11.0
1397,Jutglà,75,81,174.0,79.0,1,1533,25.0,656,8,3.0,3.0,20.5,1010,4,78,76,25,29,74,77,77,21,67,73,65,70,50,79,73,78,84,74,79,83,67,75,77,72,67,62,73,73,8,6,8,8,8,77.0,64.83333333333333,61.66666666666666,78.57142857142857,70.75,7.6
1398,Saúl Coco,75,83,188.0,76.0,1,2026,25.0,61,8,3.0,2.0,15.0,1008,2,63,59,73,76,77,60,30,77,58,60,34,69,67,79,65,84,53,86,61,86,70,80,31,65,34,42,51,29,13,5,8,7,9,61.0,60.333333333333336,56.66666666666666,73.42857142857143,50.25,8.4
1399,Johan Bakayoko,75,86,179.0,70.0,0,229,21.0,572,8,3.0,3.0,14.0,1084,3,77,81,27,35,39,72,69,21,67,72,70,68,55,87,70,68,65,86,82,70,58,67,69,63,66,57,57,60,6,7,14,7,9,79.0,56.66666666666666,64.33333333333333,75.42857142857143,62.125,8.6
1400,Giorgio Scalvini,75,86,194.0,75.0,1,1087,20.0,61,8,3.0,2.0,19.0,1257,4,67,48,76,80,78,74,28,78,49,69,38,68,48,56,68,69,49,55,38,69,70,47,23,31,35,22,35,39,9,6,12,12,6,57.5,62.66666666666666,51.333333333333336,57.71428571428572,37.75,9.0
1401,Moleiro,75,85,172.0,67.0,1,6093,20.0,317,8,3.0,3.0,10.5,1009,3,78,80,53,48,60,66,74,45,81,60,59,77,73,85,67,57,83,74,80,72,57,68,65,63,59,42,59,53,8,6,9,11,11,79.0,64.33333333333333,69.66666666666667,74.0,58.25,9.0
1402,Filipe Relvas,75,85,192.0,84.0,0,5900,24.0,73,6,2.0,2.0,7.1,1008,3,68,55,72,77,67,79,45,78,42,73,66,73,69,63,77,79,43,68,48,76,66,58,30,47,59,53,43,39,9,12,15,5,9,61.5,64.0,69.33333333333333,64.85714285714286,49.375,10.0
1403,Andrew,75,84,189.0,76.0,1,2603,23.0,258,8,2.0,1.0,7.2,1093,1,17,12,17,8,24,71,4,8,62,34,9,41,37,47,39,53,32,41,34,58,11,56,4,12,10,8,21,14,74,76,73,75,76,14.5,33.833333333333336,29.0,43.42857142857143,17.0,74.8
1404,Copete,75,83,192.0,73.0,0,5204,24.0,61,8,2.0,2.0,18.5,1010,3,71,50,76,78,75,73,31,76,44,62,36,74,60,61,66,70,50,54,40,78,77,43,32,22,35,29,45,36,13,11,13,9,8,60.5,60.16666666666666,56.66666666666666,59.85714285714285,39.875,10.8
1405,Adem Zorgane,75,81,184.0,81.0,1,2533,24.0,194,0,5.0,3.0,13.0,1009,4,77,75,68,72,74,73,66,68,75,72,70,78,75,59,91,81,61,55,64,74,62,79,69,74,68,63,66,58,9,14,11,7,12,76.0,71.33333333333333,74.33333333333333,69.28571428571429,67.375,10.6
1406,Miguel Crespo,75,77,183.0,78.0,1,5724,27.0,194,0,3.0,3.0,29.5,2080,1,74,76,73,76,80,74,72,76,72,73,66,76,73,72,89,70,65,69,77,75,65,72,60,67,73,64,65,57,15,11,8,8,8,75.0,74.5,71.66666666666667,73.85714285714286,65.375,10.0
1407,Cristian Medina,75,84,178.0,70.0,1,3121,22.0,177,6,3.0,3.0,13.5,433,3,79,79,65,74,74,74,71,66,73,77,67,78,72,76,81,60,76,75,80,67,51,64,67,61,62,52,54,49,6,8,8,12,6,79.0,72.5,72.33333333333333,73.57142857142857,57.5,8.0
1408,Milos Kerkez,75,85,176.0,71.0,0,5143,20.0,259,2,3.0,3.0,20.0,1112,4,71,73,72,69,79,69,62,70,67,65,73,69,59,85,89,65,82,79,83,70,62,55,53,50,54,42,46,52,13,8,13,10,13,72.0,68.66666666666667,67.0,79.0,51.75,11.4
1409,Isak Hien,75,83,191.0,90.0,1,2122,25.0,61,3,3.0,2.0,19.5,270,3,61,54,70,76,80,73,39,76,49,58,28,62,58,67,54,89,47,78,49,85,71,49,30,39,29,25,45,33,11,12,5,10,13,57.5,62.5,49.333333333333336,67.0,40.125,10.2
1410,Benjamin Šeško,75,85,193.0,77.0,1,4582,21.0,656,8,3.0,3.0,34.0,1011,5,76,72,35,42,62,68,74,32,61,73,55,66,52,78,73,83,69,84,74,89,73,79,75,71,59,56,61,68,14,10,8,5,6,74.0,61.66666666666666,57.66666666666666,78.57142857142857,67.75,8.6
1411,Heorhii Sudakov,75,85,177.0,68.0,1,5696,21.0,12,8,5.0,3.0,12.0,1007,5,74,75,56,54,40,69,69,36,79,73,56,76,73,76,72,68,73,75,74,77,68,73,71,80,61,62,48,64,12,13,9,13,9,74.5,61.0,68.33333333333333,73.57142857142857,65.875,11.2
1412,Gabriel Veron,75,85,176.0,75.0,1,6074,21.0,524,2,3.0,4.0,9.4,1126,4,79,81,29,23,40,70,68,34,67,70,67,72,69,85,55,55,68,86,84,62,40,63,71,66,62,50,64,58,12,6,11,6,15,80.0,58.16666666666666,69.33333333333333,70.71428571428571,59.25,10.0
1413,Víctor Chust,75,84,184.0,76.0,1,4084,24.0,61,5,5.0,2.0,21.0,1231,3,73,41,76,78,69,69,41,75,35,68,28,76,68,66,55,72,57,70,37,78,73,32,28,26,27,30,35,30,14,7,9,6,11,57.0,59.5,57.333333333333336,62.142857142857146,35.125,9.4
1414,Devyne Rensch,75,83,179.0,73.0,1,2214,21.0,466,2,5.0,3.0,9.9,1512,2,75,72,73,75,70,74,73,72,64,67,63,75,65,76,77,65,72,76,75,76,67,57,60,50,48,38,42,42,13,10,8,9,7,73.5,70.0,67.66666666666667,73.85714285714286,50.5,9.4
1415,Emmanuel Agbadou,75,79,192.0,86.0,1,3245,27.0,61,8,3.0,2.0,20.0,1010,4,61,58,69,76,84,72,55,73,51,69,36,61,58,54,68,88,40,73,51,84,78,61,51,33,20,25,34,22,9,9,7,12,14,59.5,67.33333333333333,51.66666666666666,65.42857142857143,40.5,10.2
1416,Bart Verbruggen,75,85,194.0,89.0,1,691,22.0,258,8,3.0,1.0,30.0,1190,5,18,15,14,17,17,75,4,19,38,30,10,35,30,57,26,72,45,55,52,72,15,55,8,7,11,15,21,6,68,77,71,73,80,16.5,30.5,25.0,54.142857142857146,17.25,73.8
